player_id,player_name,country
02159,Curtis Strange,United States
02160,Ron Streck,United States
02167,Mike Sullivan,United States
02170,Hal Sutton,United States
02185,Lance Ten Broeck,United States
02190,Doug Tewell,United States
02195,Leonard Thompson,United States
02197,Rocky Thompson,United States
02201,Jim Thorpe,United States
02206,David Toms,United States
02208,Bob Toski,United States
02213,Lee Trevino,United States
02214,Kirk Triplett,United States
02218,Ted Tryba,United States
02223,Bob Tway,United States
02224,Greg Twiggs,United States
02225,Howard Twitty,United States
02230,Stan Utley,United States
02239,Scott Verplank,United States
02241,Bobby Wadkins,United States
02242,Lanny Wadkins,United States
02244,Fred Wadsworth,United States
02245,Grant Waite,New Zealand
02246,Duffy Waldorf,United States
02255,Denis Watson,Zimbabwe
02256,Tom Watson,United States
02259,Bert Weaver,United States
02260,DeWitt Weaver,United States
02267,D.A. Weibring,United States
02268,Tom Weiskopf,United States
02279,Mark Wiebe,United States
02294,Willie Wood,United States
02300,Ian Woosnam,WAL
02321,Fuzzy Zoeller,United States
02322,Richard Zokol,Canada
06004,Stephen Ames,Canada
06012,Greg Kraft,United States
06034,Marco Dawson,United States
06044,Scott Gump,United States
06078,Esteban Toledo,Mexico
06090,Jim McGovern,United States
06132,Sonny Skinner,USA
06197,Michael Allen,United States
06214,Guy Boros,USA
06251,Chris DiMarco,United States
06306,Tony Jacklin,England
06332,Neal Lancaster,United States
06373,José María Olazábal,ESP
06514,Kevin Johnson,United States
06515,Shaun Micheel,USA
06522,Ernie Els,RSA
06527,Steve Stricker,USA
06567,Vijay Singh,Fiji
06573,Brandt Jobe,United States
06575,Dudley Hart,United States
06581,David Sutherland,United States
06583,Roy Pace,United States
06595,Kevin Sutherland,United States
06617,Brian Henninger,United States
06621,Joe Durant,United States
06643,Paul Goydos,United States
06731,Jeff Roth,USA
06809,Bob Burns,United States
07003,"David Berganio, Jr.",United States
07013,"Wes Short, Jr.",United States
07223,Brian Bateman,United States
07235,John Morse,United States
07363,Craig Bowden,United States
07457,Steve Flesch,United States
07569,Mark Carnevale,United States
07749,Brett Quigley,United States
07867,Woody Austin,United States
07941,Mike Grob,United States
08075,Jerry Kelly,United States
08123,Jeff Brehaut,United States
08337,Mike Heinen,United States
08339,Spike McRoy,United States
08375,Paul Stankowski,USA
08385,Omar Uresti,USA
08533,Gibby Gilbert III,United States
08535,Gary Nicklaus,United States
08537,J.P. Hayes,United States
08547,John Maginnes,United States
08725,Tom Gillis,United States
08793,Tiger Woods,United States
08931,Glen Day,United States
09011,David Duval,USA
09025,Robert Zimmerman,United States
09071,David Gilford,England
10109,Chris Stutts,United States
10117,Bob Heintz,United States
10145,Tom Hearn,United States
10195,Tim Conley,United States
10201,Matt Gogel,USA
10207,Jimmy Johnston,United States
10213,Dicky Pride,USA
10375,Sean McCarty,USA
10381,Curtis Thompson,USA
10423,Mike Weir,CAN
10425,Jay Williamson,United States
10457,Frank Nobilo,New Zealand
10505,Shane Bertsch,USA
10565,Ian Leggatt,Canada
10585,Scott McCarron,United States
10649,Tom Scherrer,United States
10733,Kent Jones,United States
10809,Jim Furyk,USA
10860,Justin Leonard,United States
10875,Todd Demsey,United States
10885,Robert Allenby,AUS
10912,Craig Perks,New Zealand
10944,Thomas Bjørn,
11032,Frank Lickliter II,USA
11123,Chris Couch,USA
11127,Stephen Dodd,WAL
11563,Kim Swan,BER
12195,Tom Johnson,USA
12309,Bob Sowards,USA
12388,Michael Clark II,United States
12454,Mario Tiziani,United States
12510,Chad Campbell,USA
12602,Dean Wilson,United States
12645,Brent Geiberger,United States
12652,Cameron Beckman,USA
12660,Jesper Parnevik,Sweden
12663,Phil Tataurangi,New Zealand
12680,Shigeki Maruyama,Japan
12716,Charley Hoffman,United States
12730,John Harris,United States
12782,Tim Herron,USA
12794,Tim Weinhart,USA
12823,Carlos Franco,PAR
19795,Kelly Mitchum,USA
19803,Ryan Armour,USA
19824,Craig Barlow,United States
19825,Darren Clarke,NIR
19846,Brian Gay,United States
19881,Robert Damron,United States
19904,Paul Lawrie,SCO
19958,Miguel Angel Jiménez,Spain
19972,José Coceres,Argentina
20029,Notah Begay III,United States
20070,Matt Bettencourt,United States
20094,Jonathan Kaye,USA
20095,Carl Paulson,United States
20098,Stuart Appleby,Australia
20104,Ken Duke,USA
20105,Jeff Gove,United States
20127,Chris Riley,United States
20157,Retief Goosen,South Africa
20160,Charlie Wi,USA
20213,Katsumasa Miyamoto,Japan
20218,Shingo Katayama,Japan
20229,Stewart Cink,USA
20376,Stephen Gallacher,SCO
20396,Lee Westwood,England
20433,Mark Hensby,Australia
20436,Garrett Willis,United States
20472,Alex Cejka,Germany
20498,Briny Baird,United States
20569,Richard Green,Australia
20572,Rod Pampling,AUS
20580,Andre Stolz,Australia
20593,Greg Chalmers,Australia
20608,David Howell,England
20628,Arron Oberholser,United States
20634,Peter Lonard,Australia
20645,John Senden,Australia
20691,Greg Owen,England
20698,Adilson da Silva,Brazil
20721,Darren Fichardt,South Africa
20723,Peter Wilson,Australia
20766,Padraig Harrington,Ireland
20771,Steven Alker,NZL
20802,Jean Hugo,South Africa
20848,Ángel Cabrera,ARG
20850,Daniel Chopra,SWE
20935,Toru Taniguchi,Japan
21007,Gabriel Hjertstedt,Sweden
21209,Sergio Garcia,Spain
21284,Hiroyuki Fujita,Japan
21339,Keith Horne,South Africa
21350,Ryuji Imada,JPN
21407,Arjun Atwal,India
21498,Hideto Tanihara,Japan
21528,Henrik Stenson,SWE
21593,Keith Nolan,Ireland
21633,Steve Allan,AUS
21731,Freddie Jacobson,Sweden
21753,Brian Davis,ENG
21805,Harrison Frazar,USA
21878,Mark Wilson,USA
21949,Joe Ogilvie,United States
21959,Ted Purdy,USA
21961,Charles Howell III,United States
22000,Chris Wood,England
22032,Tomohiro Kondo,Japan
22046,Geoff Ogilvy,AUS
22056,Cameron Percy,Australia
22078,Mikael Lundberg,Sweden
22110,Thaworn Wiratchant,Thailand
22293,Heath Slocum,USA
22371,Aaron Baddeley,Australia
22378,Trevor Immelman,South Africa
22400,Hennie Otto,South Africa
22402,Ulrich Van den Berg,South Africa
22405,Justin Rose,England
22417,Jay Choi,United States
22548,Patrick Sheehan,United States
22621,Ben Curtis,United States
22764,Michael Block,USA
22892,Jason Gore,USA
22896,Grégory Havret,France
22913,John Rollins,USA
22951,Azuma Yano,Japan
22986,Søren Kjeldsen,Denmark
23048,Eric Axley,USA
23063,Scott Hend,Australia
23091,Alan Morin,USA
23108,Matt Kuchar,United States
23135,Tim Clark,South Africa
23175,Timothy O'Neal,USA
23218,Joe Summerhays,USA
23305,"Frank Bensel, Jr.",USA
23320,Ryan Palmer,United States
23322,Brett Wetterich,United States
23325,Vaughn Taylor,USA
23338,David Gossett,United States
23353,J.J. Henry,USA
23373,Michael Hoey,Northern Ireland
23452,Nicolas Colsaerts,Belgium
23481,Marcel Siem,Germany
23497,Tag Ridings,United States
23531,Tracy Vest,USA
23540,Jason Allred,United States
23541,Ben Crane,USA
23548,Bill Lunde,United States
23614,Rich Beem,USA
23621,Rory Sabbatini,SVK
23623,Bo Van Pelt,USA
23638,Brendon de Jonge,ZIM
